ok
Dest | Next Hop | Dist | Shortest-Path
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 7 | 13 | 1 | -1 | 13 | 15 | 0 | 5 | 13 | 16 | 21 | 8 | 20 | 
-----------------------------
Iter 9:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 7 | 13 | 1 | 34 | 13 | 15 | 0 | 5 | 13 | 16 | 21 | 8 | 19 | 
-----------------------------
Iter 10:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 7 | 13 | 1 | 34 | 13 | 15 | 0 | 5 | 13 | 16 | 21 | 8 | 19 | 
-----------------------------
Iter 11:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 7 | 13 | 1 | 34 | 13 | 15 | 0 | 5 | 13 | 16 | 21 | 8 | 19 | 
-----------------------------
Iter 12:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 7 | 13 | 1 | 34 | 13 | 15 | 0 | 5 | 13 | 16 | 21 | 8 | 19 | 
-----------------------------
Path [s] -> [d] | Min-Cost | Shortest-Path
7->1 | 7 | 7->1
7->2 | 13 | 7->2
7->3 | 1 | 7->3
7->4 | 34 | 7->2->6->4
7->5 | 13 | 7->1->5
7->6 | 15 | 7->2->6
7->8 | 5 | 7->3->8
7->9 | 13 | 7->21->9
7->10 | 16 | 7->1->5->01
7->11 | 21 | 7->3->8->11
7->12 | 8 | 7->21
7->13 | 19 | 7->2->6->31
Iter 1:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | -1 | 4 | -1 | -1 | 17 | -1 | 0 | -1 | -1 | 16 | -1 | -1 | 
-----------------------------
Iter 2:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | -1 | 4 | -1 | -1 | 17 | 5 | 0 | -1 | -1 | 16 | 12 | -1 | 
-----------------------------
Iter 3:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 12 | 18 | 4 | -1 | -1 | 17 | 5 | 0 | -1 | -1 | 16 | 12 | -1 | 
-----------------------------
Iter 4:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 12 | 18 | 4 | -1 | -1 | 17 | 5 | 0 | 17 | 24 | 16 | 12 | -1 | 
-----------------------------
Iter 5:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 12 | 18 | 4 | -1 | 18 | 17 | 5 | 0 | 17 | 24 | 16 | 12 | -1 | 
-----------------------------
Iter 6:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 12 | 18 | 4 | -1 | 18 | 17 | 5 | 0 | 17 | 24 | 16 | 12 | -1 | 
-----------------------------
Iter 7:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 12 | 18 | 4 | -1 | 18 | 17 | 5 | 0 | 17 | 24 | 16 | 12 | 24 | 
-----------------------------
Iter 8:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 12 | 18 | 4 | 36 | 18 | 17 | 5 | 0 | 17 | 24 | 16 | 12 | 21 | 
-----------------------------
Iter 9:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 12 | 18 | 4 | 36 | 18 | 17 | 5 | 0 | 17 | 21 | 16 | 12 | 21 | 
-----------------------------
Iter 10:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 12 | 18 | 4 | 36 | 18 | 17 | 5 | 0 | 17 | 21 | 16 | 12 | 21 | 
-----------------------------
Iter 11:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 12 | 18 | 4 | 36 | 18 | 17 | 5 | 0 | 17 | 21 | 16 | 12 | 21 | 
-----------------------------
Iter 12:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 12 | 18 | 4 | 36 | 18 | 17 | 5 | 0 | 17 | 21 | 16 | 12 | 21 | 
-----------------------------
Path [s] -> [d] | Min-Cost | Shortest-Path
8->1 | 12 | 8->3->7->1
8->2 | 18 | 8->3->7->2
8->3 | 4 | 8->3
8->4 | 36 | 8->6->4
8->5 | 18 | 8->3->7->1->5
8->6 | 17 | 8->6
8->7 | 5 | 8->3->7
8->9 | 17 | 8->3->21->9
8->10 | 21 | 8->3->7->1->5->01
8->11 | 16 | 8->11
8->12 | 12 | 8->3->21
8->13 | 21 | 8->6->31
Iter 1:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | -1 | -1 | 5 | 7 | 
-----------------------------
Iter 2:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | -1 | 13 | -1 | -1 | -1 | 13 | -1 | 0 | 17 | -1 | 5 | 7 | 
-----------------------------
Iter 3:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | -1 | 13 | -1 | -1 | 11 | 13 | -1 | 0 | 17 | -1 | 5 | 7 | 
-----------------------------
Iter 4:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | 13 | 13 | 30 | -1 | 11 | 13 | 28 | 0 | 17 | 36 | 5 | 7 | 
-----------------------------
Iter 5:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 13 | 13 | 30 | -1 | 11 | 13 | 28 | 0 | 17 | 36 | 5 | 7 | 
-----------------------------
Iter 6:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 13 | 13 | 30 | -1 | 11 | 13 | 17 | 0 | 17 | 36 | 5 | 7 | 
-----------------------------
Iter 7:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 13 | 13 | 30 | -1 | 11 | 13 | 17 | 0 | 17 | 36 | 5 | 7 | 
-----------------------------
Iter 8:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 13 | 13 | 30 | 20 | 11 | 13 | 17 | 0 | 17 | 36 | 5 | 7 | 
-----------------------------
Iter 9:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 13 | 13 | 30 | 20 | 11 | 13 | 17 | 0 | 17 | 33 | 5 | 7 | 
-----------------------------
Iter 10:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 13 | 13 | 30 | 20 | 11 | 13 | 17 | 0 | 17 | 33 | 5 | 7 | 
-----------------------------
Iter 11:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 13 | 13 | 30 | 20 | 11 | 13 | 17 | 0 | 17 | 33 | 5 | 7 | 
-----------------------------
Iter 12:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 13 | 13 | 30 | 20 | 11 | 13 | 17 | 0 | 17 | 33 | 5 | 7 | 
-----------------------------
Path [s] -> [d] | Min-Cost | Shortest-Path
9->1 | 20 | 9->21->7->1
9->2 | 13 | 9->31->6->2
9->3 | 13 | 9->21->3
9->4 | 30 | 9->31->6->4
9->5 | 20 | 9->21->01->5
9->6 | 11 | 9->31->6
9->7 | 13 | 9->21->7
9->8 | 17 | 9->21->3->8
9->10 | 17 | 9->21->01
9->11 | 33 | 9->21->3->8->11
9->12 | 5 | 9->21
9->13 | 7 | 9->31
Iter 1:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | -1 | -1 | -1 | 3 | -1 | -1 | -1 | -1 | 0 | -1 | 12 | -1 | 
-----------------------------
Iter 2:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 9 | -1 | -1 | -1 | 3 | -1 | -1 | -1 | -1 | 0 | -1 | 12 | -1 | 
-----------------------------
Iter 3:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 9 | -1 | -1 | -1 | 3 | -1 | 16 | -1 | -1 | 0 | -1 | 12 | -1 | 
-----------------------------
Iter 4:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 9 | -1 | 20 | -1 | 3 | -1 | 16 | -1 | 17 | 0 | -1 | 12 | -1 | 
-----------------------------
Iter 5:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 9 | 29 | 17 | -1 | 3 | -1 | 16 | -1 | 17 | 0 | -1 | 12 | -1 | 
-----------------------------
Iter 6:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 9 | 29 | 17 | -1 | 3 | -1 | 16 | -1 | 17 | 0 | -1 | 12 | 24 | 
-----------------------------
Iter 7:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 9 | 29 | 17 | -1 | 3 | -1 | 16 | 21 | 17 | 0 | -1 | 12 | 24 | 
-----------------------------
Iter 8:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 9 | 29 | 17 | -1 | 3 | 38 | 16 | 21 | 17 | 0 | 37 | 12 | 24 | 
-----------------------------
Iter 9:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 9 | 29 | 17 | -1 | 3 | 28 | 16 | 21 | 17 | 0 | 37 | 12 | 24 | 
-----------------------------
Iter 10:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 9 | 29 | 17 | 47 | 3 | 28 | 16 | 21 | 17 | 0 | 37 | 12 | 24 | 
-----------------------------
Iter 11:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 9 | 29 | 17 | 47 | 3 | 28 | 16 | 21 | 17 | 0 | 37 | 12 | 24 | 
-----------------------------
Iter 12:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 9 | 29 | 17 | 47 | 3 | 28 | 16 | 21 | 17 | 0 | 37 | 12 | 24 | 
-----------------------------
Path [s] -> [d] | Min-Cost | Shortest-Path
10->1 | 9 | 01->5->1
10->2 | 29 | 01->5->1->7->2
10->3 | 17 | 01->5->1->7->3
10->4 | 47 | 01->21->9->31->6->4
10->5 | 3 | 01->5
10->6 | 28 | 01->21->9->31->6
10->7 | 16 | 01->5->1->7
10->8 | 21 | 01->5->1->7->3->8
10->9 | 17 | 01->21->9
10->11 | 37 | 01->5->1->7->3->8->11
10->12 | 12 | 01->21
10->13 | 24 | 01->21->9->31
Iter 1:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | -1 | -1 | -1 | -1 | 25 | -1 | 16 | -1 | -1 | 0 | -1 | -1 | 
-----------------------------
Iter 2:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | -1 | 20 | -1 | -1 | 25 | -1 | 16 | -1 | -1 | 0 | -1 | -1 | 
-----------------------------
Iter 3:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | -1 | 20 | -1 | -1 | 25 | 21 | 16 | -1 | -1 | 0 | 28 | -1 | 
-----------------------------
Iter 4:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 28 | 34 | 20 | -1 | -1 | 25 | 21 | 16 | -1 | -1 | 0 | 28 | -1 | 
-----------------------------
Iter 5:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 28 | 27 | 20 | 44 | -1 | 25 | 21 | 16 | -1 | -1 | 0 | 28 | 29 | 
-----------------------------
Iter 6:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 28 | 27 | 20 | 44 | -1 | 25 | 21 | 16 | -1 | -1 | 0 | 28 | 29 | 
-----------------------------
Iter 7:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 28 | 27 | 20 | 44 | -1 | 25 | 21 | 16 | 33 | 40 | 0 | 28 | 29 | 
-----------------------------
Iter 8:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 28 | 27 | 20 | 44 | 34 | 25 | 21 | 16 | 33 | 40 | 0 | 28 | 29 | 
-----------------------------
Iter 9:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 28 | 27 | 20 | 44 | 34 | 25 | 21 | 16 | 33 | 40 | 0 | 28 | 29 | 
-----------------------------
Iter 10:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 28 | 27 | 20 | 44 | 34 | 25 | 21 | 16 | 33 | 40 | 0 | 28 | 29 | 
-----------------------------
Iter 11:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 28 | 27 | 20 | 44 | 34 | 25 | 21 | 16 | 33 | 37 | 0 | 28 | 29 | 
-----------------------------
Iter 12:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 28 | 27 | 20 | 44 | 34 | 25 | 21 | 16 | 33 | 37 | 0 | 28 | 29 | 
-----------------------------
Path [s] -> [d] | Min-Cost | Shortest-Path
11->1 | 28 | 11->8->3->7->1
11->2 | 27 | 11->6->2
11->3 | 20 | 11->8->3
11->4 | 44 | 11->6->4
11->5 | 34 | 11->8->3->7->1->5
11->6 | 25 | 11->6
11->7 | 21 | 11->8->3->7
11->8 | 16 | 11->8
11->9 | 33 | 11->8->3->21->9
11->10 | 37 | 11->8->3->7->1->5->01
11->12 | 28 | 11->8->3->21
11->13 | 29 | 11->6->31
Iter 1:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | -1 | 8 | -1 | -1 | -1 | 8 | -1 | 5 | 12 | -1 | 0 | -1 | 
-----------------------------
Iter 2:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | -1 | 8 | -1 | -1 | -1 | 8 | -1 | 5 | 12 | -1 | 0 | 12 | 
-----------------------------
Iter 3:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 15 | 21 | 8 | -1 | -1 | -1 | 8 | -1 | 5 | 12 | -1 | 0 | 12 | 
-----------------------------
Iter 4:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 15 | 21 | 8 | -1 | -1 | -1 | 8 | 12 | 5 | 12 | -1 | 0 | 12 | 
-----------------------------
Iter 5:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 15 | 21 | 8 | -1 | -1 | 16 | 8 | 12 | 5 | 12 | -1 | 0 | 12 | 
-----------------------------
Iter 6:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 15 | 21 | 8 | -1 | 15 | 16 | 8 | 12 | 5 | 12 | -1 | 0 | 12 | 
-----------------------------
Iter 7:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 15 | 21 | 8 | -1 | 15 | 16 | 8 | 12 | 5 | 12 | 28 | 0 | 12 | 
-----------------------------
Iter 8:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 15 | 21 | 8 | -1 | 15 | 16 | 8 | 12 | 5 | 12 | 28 | 0 | 12 | 
-----------------------------
Iter 9:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 15 | 21 | 8 | -1 | 15 | 16 | 8 | 12 | 5 | 12 | 28 | 0 | 12 | 
-----------------------------
Iter 10:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 15 | 18 | 8 | 35 | 15 | 16 | 8 | 12 | 5 | 12 | 28 | 0 | 12 | 
-----------------------------
Iter 11:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 15 | 18 | 8 | 35 | 15 | 16 | 8 | 12 | 5 | 12 | 28 | 0 | 12 | 
-----------------------------
Iter 12:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 15 | 18 | 8 | 35 | 15 | 16 | 8 | 12 | 5 | 12 | 28 | 0 | 12 | 
-----------------------------
Path [s] -> [d] | Min-Cost | Shortest-Path
12->1 | 15 | 21->7->1
12->2 | 18 | 21->9->31->6->2
12->3 | 8 | 21->3
12->4 | 35 | 21->9->31->6->4
12->5 | 15 | 21->01->5
12->6 | 16 | 21->9->31->6
12->7 | 8 | 21->7
12->8 | 12 | 21->3->8
12->9 | 5 | 21->9
12->10 | 12 | 21->01
12->11 | 28 | 21->3->8->11
12->13 | 12 | 21->9->31
Iter 1:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | -1 | -1 | -1 | -1 | 4 | -1 | -1 | 7 | -1 | -1 | -1 | 0 | 
-----------------------------
Iter 2:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | 6 | -1 | 23 | -1 | 4 | -1 | 21 | 7 | -1 | 29 | -1 | 0 | 
-----------------------------
Iter 3:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | 6 | -1 | 23 | -1 | 4 | 19 | 21 | 7 | -1 | 29 | -1 | 0 | 
-----------------------------
Iter 4:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | 6 | -1 | 23 | -1 | 4 | 19 | 21 | 7 | -1 | 29 | 12 | 0 | 
-----------------------------
Iter 5:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | 6 | 20 | 23 | -1 | 4 | 19 | 21 | 7 | 24 | 29 | 12 | 0 | 
-----------------------------
Iter 6:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 26 | 6 | 20 | 23 | -1 | 4 | 19 | 21 | 7 | 24 | 29 | 12 | 0 | 
-----------------------------
Iter 7:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 26 | 6 | 20 | 23 | -1 | 4 | 19 | 21 | 7 | 24 | 29 | 12 | 0 | 
-----------------------------
Iter 8:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 26 | 6 | 20 | 23 | -1 | 4 | 19 | 21 | 7 | 24 | 29 | 12 | 0 | 
-----------------------------
Iter 9:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 26 | 6 | 20 | 23 | -1 | 4 | 19 | 21 | 7 | 24 | 29 | 12 | 0 | 
-----------------------------
Iter 10:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 26 | 6 | 20 | 23 | 27 | 4 | 19 | 21 | 7 | 24 | 29 | 12 | 0 | 
-----------------------------
Iter 11:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 26 | 6 | 20 | 23 | 27 | 4 | 19 | 21 | 7 | 24 | 29 | 12 | 0 | 
-----------------------------
Iter 12:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 26 | 6 | 20 | 23 | 27 | 4 | 19 | 21 | 7 | 24 | 29 | 12 | 0 | 
-----------------------------
Path [s] -> [d] | Min-Cost | Shortest-Path
13->1 | 26 | 31->6->2->7->1
13->2 | 6 | 31->6->2
13->3 | 20 | 31->9->21->3
13->4 | 23 | 31->6->4
13->5 | 27 | 31->9->21->01->5
13->6 | 4 | 31->6
13->7 | 19 | 31->6->2->7
13->8 | 21 | 31->6->8
13->9 | 7 | 31->9
13->10 | 24 | 31->9->21->01
13->11 | 29 | 31->6->11
13->12 | 12 | 31->9->21
lsrp takes 5369810 ns
